Title,Company,Salary
Software Engineer,"SQUATWOLF,",Not listed
Software Engineer,"Infinitum Media PVT,",150K - 150K
Software Engineer,"Sorvox Groups,",Not listed
Software Engineer,"The Shams Group,",Not listed
Software Engineer – PHP,"Dawat-e-islami Karachi information Technology,",70K - 70K
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Senior Software Engineering Manager,"Careem,",Not listed
Principal Software Engineer - Backend,"dubizzle,",Not listed
Software Quality Assurance Engineer,"Datasoft Solutions (Pvt.) Ltd.,",70K - 125K
Software Engineer - SQL Database,"The Shams Group,",Not listed
Software Engineer – Backend (.Net),"Intelligenes,",Not listed
